year,Nairobi_temp,Global_temp,Nairobi_avg,Global_avg
1850,15.33,7.9,15.53,8.065
1851,,8.18,15.73,8.071
1852,,8.1,15.73,8.038
1853,,8.04,15.73,7.984
1854,,8.21,15.73,7.991
1855,,8.11,15.58,7.968
1856,,8,15.42333333,7.943
1857,,7.76,15.415,7.951
1858,,8.1,15.528,8.029
1859,15.73,8.25,15.62333333,8.102
1860,,7.96,15.602,8.094
1861,,7.85,15.605,8.11
1862,,7.56,15.63428571,8.152
1863,,8.11,15.6275,8.209
1864,15.43,7.98,15.60888889,8.196
1875,15.11,7.86,15.59222222,8.175
1876,15.39,8.08,15.63555556,8.181
1877,15.98,8.54,15.65,8.168
1878,16.1,8.83,15.58,8.105
1879,,8.17,15.51,8.031
1880,15.62,8.12,15.543,8.046
1881,15.81,8.27,15.529,8.031
1882,15.58,8.13,15.496,8.006
1883,15.46,7.98,15.513,8
1884,15.28,7.77,15.52,8.008
1885,15.5,7.92,15.577,8.047
1886,15.52,7.95,15.61,8.07
1887,15.35,7.91,15.643,8.096
1888,15.47,8.09,15.703,8.134
1889,15.84,8.32,15.789,8.143
1890,15.48,7.97,15.792,8.151
1891,15.48,8.02,15.859,8.204
1892,15.75,8.07,15.956,8.256
1893,15.53,8.06,16,8.279
1894,15.85,8.16,16.055,8.295
1895,15.83,8.15,16.028,8.288
1896,15.85,8.21,16.008,8.296
1897,15.95,8.29,15.944,8.313
1898,16.33,8.18,15.889,8.279
1899,15.87,8.4,15.855,8.28
1900,16.15,8.5,15.834,8.258
1901,16.45,8.54,15.771,8.23
1902,16.19,8.3,15.717,8.194
1903,16.08,8.22,15.691,8.181
1904,15.58,8.09,15.673,8.189
1905,15.63,8.23,15.745,8.239
1906,15.21,8.38,15.816,8.275
1907,15.4,7.95,15.864,8.26
1908,15.99,8.19,15.858,8.267
1909,15.66,8.18,15.839,8.261
1910,15.52,8.22,15.865,8.281
1911,15.91,8.18,15.862,8.295
1912,15.93,8.17,15.842,8.334
1913,15.9,8.3,15.803,8.358
1914,16.3,8.59,15.768,8.37
1915,16.34,8.59,15.723,8.362
1916,15.69,8.23,15.669,8.356
1917,15.34,8.02,15.702,8.406
1918,15.8,8.13,15.761,8.456
1919,15.92,8.38,15.806,8.506
1920,15.49,8.36,15.813,8.492
1921,15.71,8.57,15.849,8.519
1922,15.54,8.41,15.923,8.534
1923,15.55,8.42,15.973,8.564
1924,15.85,8.51,16.034,8.556
1925,15.8,8.53,16.068,8.568
1926,16.02,8.73,16.099,8.567
1927,15.93,8.52,16.083,8.549
1928,16.25,8.63,16.089,8.567
1929,15.99,8.24,16.061,8.59
1930,15.85,8.63,16.082,8.642
1931,16.45,8.72,16.119,8.655
1932,16.04,8.71,16.111,8.66
1933,16.16,8.34,16.097,8.662
1934,16.19,8.63,16.086,8.704
1935,16.11,8.52,16.091,8.726
1936,15.86,8.55,16.093,8.732
1937,15.99,8.7,16.128,8.745
1938,15.97,8.86,16.114,8.755
1939,16.2,8.76,16.127,8.744
1940,16.22,8.76,16.154,8.727
1941,16.37,8.77,16.129,8.688
1942,15.9,8.73,16.094,8.674
1943,16.05,8.76,16.131,8.665
1944,16.24,8.85,16.162,8.676
1945,16.13,8.58,16.143,8.647
1946,16.21,8.68,16.138,8.652
1947,15.85,8.8,16.087,8.612
1948,16.1,8.75,16.099,8.605
1949,16.47,8.59,16.112,8.607
1950,15.97,8.37,16.093,8.621
1951,16.02,8.63,16.111,8.642
1952,16.27,8.64,16.145,8.659
1953,16.36,8.87,16.101,8.67
1954,16.05,8.56,16.05,8.669
1955,16.08,8.63,16.008,8.654
1956,15.7,8.28,16.001,8.644
1957,15.97,8.73,16.054,8.676
1958,16.23,8.77,16.09,8.673
1959,16.28,8.73,16.035,8.648
1960,16.15,8.58,16.04,8.635
1961,16.36,8.8,16.029,8.647
1962,15.83,8.75,15.973,8.627
1963,15.85,8.86,16.021,8.602
1964,15.63,8.41,16.083,8.611
1965,16.01,8.53,16.114,8.617
1966,16.23,8.6,16.129,8.638
1967,16.33,8.7,16.134,8.613
1968,15.68,8.52,16.125,8.628
1969,16.33,8.6,16.143,8.645
1970,16.04,8.7,16.129,8.658
1971,15.8,8.6,16.187,8.686
1972,16.31,8.5,16.238,8.743
1973,16.47,8.95,16.253,8.757
1974,15.94,8.47,16.277,8.765
1975,16.16,8.74,16.316,8.787
1976,16.28,8.35,16.324,8.779
1977,16.24,8.85,16.349,8.827
1978,15.86,8.69,16.444,8.841
1979,16.19,8.73,16.51,8.892
1980,16.62,8.98,16.482,8.911
1981,16.31,9.17,16.414,8.936
1982,16.46,8.64,16.409,8.937
1983,16.71,9.03,16.397,8.957
1984,16.33,8.69,16.362,8.941
1985,16.24,8.66,16.387,8.976
1986,16.53,8.83,16.415,9.045
1987,17.19,8.99,16.406,9.066
1988,16.52,9.2,16.364,9.087
1989,15.91,8.92,16.365,9.119
1990,15.94,9.23,16.444,9.156
1991,16.26,9.18,16.523,9.153
1992,16.34,8.84,16.507,9.176
1993,16.36,8.87,16.534,9.249
1994,16.58,9.04,16.585,9.315
1995,16.52,9.35,16.619,9.343
1996,16.44,9.04,16.695,9.378
1997,16.77,9.2,16.743,9.427
1998,16.53,9.52,16.726,9.48
1999,16.7,9.29,16.739,9.471
2000,16.73,9.2,16.799,9.493
2001,16.1,9.41,16.808,9.543
2002,16.61,9.57,16.888,9.554
2003,16.87,9.53,16.911,9.548
2004,16.92,9.32,16.915,9.556
2005,17.28,9.7,16.91444444,9.582222222
2006,16.92,9.53,16.86875,9.5675
2007,16.6,9.73,16.86142857,9.572857143
2008,16.66,9.43,16.905,9.546666667
2009,17.3,9.51,16.954,9.57
2010,16.82,9.7,16.8675,9.585
2011,16.9,9.52,16.88333333,9.546666667
2012,16.84,9.51,16.875,9.56
2013,16.91,9.61,16.91,9.61